Similarity,Query,Target
-0.0524557083845138,942976256500627,469632520991739
-0.0452919229865074,515998056096211,1214857095648492
-0.0452919229865074,1214857095648492,515998056096211
-0.0435949712991714,369109074542367,785259122384369
-0.0435949712991714,785259122384369,369109074542367
-0.0401793457567691,159689693130900,1549092415280419
-0.0401793457567691,1549092415280419,159689693130900
-0.0397728011012077,296842092069967,367882504592515
-0.0397728011012077,367882504592515,296842092069967
-0.0385879203677177,487430195935464,942976256500627
