Similarity,Query,Target
0.9374951124191284,1928284654039842,101613699132731
0.920319437980652,272283278396009,109342625038079
0.9188045263290404,1928284654039842,3686422294815581
0.9184324741363524,227993586147282,1228611517660836
0.9139269590377808,1116889862183486,113824371155056
0.9124130606651306,963440017938576,460404762187932
0.9038683176040648,899319920718572,1101503527343644
0.9021985530853271,328149896034424,101613699132731
0.9011171460151672,653869139383232,241320218079073
0.8999080657958984,4963766333643320,622744342186354
